               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.030493,            0.042104,           0.0099407,             0.78047,             0.74638,             0.80236,             0.61696,            0.023594,            0.022694,            0.013202,             0.00925,             0.00925,             0.00925
                 102,            0.027717,             0.04085,           0.0090291,             0.80824,             0.78502,             0.82075,             0.60499,            0.024676,            0.022252,            0.011821,           0.0092425,           0.0092425,           0.0092425
                 103,            0.027378,            0.037841,            0.009332,              0.7718,             0.77227,             0.81631,             0.60865,            0.025988,            0.022834,            0.012393,            0.009235,            0.009235,            0.009235
                 104,            0.027933,            0.037048,            0.009573,             0.80897,             0.77191,             0.82481,             0.60739,            0.024932,            0.021923,            0.011897,           0.0092275,           0.0092275,           0.0092275
                 105,            0.028798,            0.039232,           0.0095234,             0.81687,             0.75119,             0.81317,             0.62841,            0.024083,            0.021547,            0.012835,             0.00922,             0.00922,             0.00922
                 106,            0.028714,            0.039059,           0.0095453,             0.77569,             0.80075,             0.83036,             0.61466,            0.024857,            0.021318,            0.012485,           0.0092125,           0.0092125,           0.0092125
                 107,            0.027503,             0.03938,           0.0090864,             0.79612,             0.77278,             0.80926,             0.60744,            0.024345,            0.021923,            0.013846,            0.009205,            0.009205,            0.009205
                 108,            0.027662,            0.039523,           0.0090772,             0.75468,             0.80971,             0.81404,             0.60648,            0.024344,            0.021318,            0.013219,           0.0091975,           0.0091975,           0.0091975
                 109,              0.0291,            0.040844,           0.0092766,             0.82514,             0.78638,             0.83311,             0.62945,            0.023216,            0.021407,            0.012771,             0.00919,             0.00919,             0.00919
                 110,            0.026727,            0.038637,           0.0096146,             0.92301,             0.72449,             0.81707,             0.60679,             0.02459,            0.022396,            0.012994,           0.0091825,           0.0091825,           0.0091825
                 111,            0.028365,            0.037648,           0.0089622,             0.86841,             0.75002,              0.8106,             0.61832,            0.024875,            0.021859,            0.013905,            0.009175,            0.009175,            0.009175
                 112,            0.027343,            0.038716,           0.0084051,             0.85497,             0.77241,             0.80611,             0.58618,            0.025594,            0.022617,            0.013359,           0.0091675,           0.0091675,           0.0091675
                 113,            0.027321,            0.041588,           0.0087266,             0.77629,             0.73922,             0.81618,             0.63153,            0.023602,            0.022035,            0.012772,             0.00916,             0.00916,             0.00916
                 114,            0.025884,            0.038291,           0.0086832,             0.88304,              0.7561,              0.8078,             0.60435,            0.025578,            0.025081,            0.012103,           0.0091525,           0.0091525,           0.0091525
                 115,            0.027715,            0.042233,           0.0092457,             0.89885,             0.78572,             0.82451,              0.6205,            0.024508,            0.022523,            0.010939,            0.009145,            0.009145,            0.009145
                 116,            0.026298,            0.038794,           0.0089683,             0.89322,             0.78102,             0.82018,             0.61424,            0.024782,            0.022255,            0.011787,           0.0091375,           0.0091375,           0.0091375
                 117,            0.029053,             0.04096,           0.0079451,             0.91355,              0.7986,             0.83001,             0.64609,            0.023278,            0.021317,            0.011648,             0.00913,             0.00913,             0.00913
                 118,            0.029174,            0.040161,           0.0087303,             0.80906,             0.76004,             0.83035,             0.62872,            0.024941,            0.021511,            0.011647,           0.0091225,           0.0091225,           0.0091225
                 119,            0.028466,            0.038812,           0.0088344,             0.88517,             0.74218,              0.8063,             0.60437,            0.024319,            0.021959,            0.012713,            0.009115,            0.009115,            0.009115
                 120,            0.026034,            0.038234,           0.0081622,             0.88862,              0.7525,              0.8073,              0.6264,            0.024045,            0.022418,            0.012804,           0.0091075,           0.0091075,           0.0091075
                 121,            0.029315,            0.040068,           0.0083808,             0.79768,             0.79331,             0.81709,             0.64509,            0.023359,            0.021693,            0.012048,              0.0091,              0.0091,              0.0091
                 122,            0.026758,             0.03806,           0.0083752,             0.80377,             0.78322,             0.81875,             0.62907,            0.023765,            0.021427,            0.011715,           0.0090925,           0.0090925,           0.0090925
                 123,            0.026269,             0.03824,           0.0085849,             0.78414,             0.81036,             0.83448,             0.64372,            0.024108,            0.021495,            0.010886,            0.009085,            0.009085,            0.009085
                 124,            0.027162,            0.040128,           0.0084124,             0.79954,             0.77656,             0.82434,             0.63405,            0.023966,            0.022576,            0.010844,           0.0090775,           0.0090775,           0.0090775
                 125,            0.027504,            0.040061,           0.0084113,             0.74385,              0.7902,             0.81569,             0.64831,            0.022883,            0.022466,            0.011299,             0.00907,             0.00907,             0.00907
                 126,            0.026183,            0.037666,           0.0076883,             0.77176,             0.79191,             0.80964,             0.63376,            0.024478,            0.023976,            0.012074,           0.0090625,           0.0090625,           0.0090625
                 127,            0.025306,            0.035734,           0.0076525,             0.84289,             0.78599,             0.81899,             0.63978,            0.023519,            0.021738,            0.011591,            0.009055,            0.009055,            0.009055
                 128,            0.025542,            0.035832,           0.0080401,             0.84285,             0.80306,             0.83258,             0.64421,             0.02365,            0.021341,            0.011292,           0.0090475,           0.0090475,           0.0090475
                 129,            0.027785,            0.038246,           0.0082067,             0.82403,             0.80801,             0.84214,             0.64845,            0.022917,            0.021009,             0.01199,             0.00904,             0.00904,             0.00904
                 130,            0.025118,            0.035912,           0.0076744,             0.85858,             0.78037,             0.83917,             0.64789,            0.023822,            0.021258,            0.011723,           0.0090325,           0.0090325,           0.0090325
